landmark_name,landmark_type,longitude,latitude
campiello della malvasia,square,12.3497984,45.4329065
campo santa margherita,square,12.3234482,45.434305
campo sant'anzolo,square,12.3319525,45.4342152
campo santa maria del giglio,square,12.3329024,45.4324274
campo san zaccaria,square,12.3431064,45.4345951
piazza san marco,square,12.3385068,45.4342611
piazzetta san marco,square,12.3396096,45.4337604
campo santi giovanni e paolo,square,12.3416758,45.4392211
fondamenta santa lucia,square,12.3213378,45.4407746
riva degli schiavoni,square,12.3433257,45.4338887
campo san bartolomeo,square,12.3368573,45.4376819
campo san salvador,square,12.3361501,45.43688
campo san maurizio,square,12.331588,45.4328103
campo santo stefano,square,12.3302134,45.4330928
campo san samuele,square,12.3278968,45.433487
campo san giuseppe,square,12.3569087,45.4300804
campo de l'arsenal,square,12.3498727,45.4345615
campo de santa giustina,square,12.3461005,45.4380393
campo san marcuola,square,12.3286849,45.4427031
campo san zan degolã ,square,12.3276788,45.4415183
campo san vidal,square,12.329422,45.4321966
campo de la salute,square,12.3349515,45.4306491
campiello barbaro,square,12.332246,45.4304544
corte del sabion,square,12.3311699,45.430005
campo de la maddalena,square,12.3311462,45.4431192
campo santa maria formosa,square,12.341037,45.4372965
campo san vio,square,12.3301799,45.4307831
campo san giacomo,square,12.3352369,45.4386849
corte del teatro,square,12.3348925,45.4363699
campo santa sofia,square,12.3347383,45.4406467
campo san marziale,square,12.332734,45.4437402
campiello de la scuola,square,12.3256837,45.4447084
campo san simon grando,square,12.3240477,45.4410881
campo san giovanni grisostomo,square,12.3372687,45.4393188
corte del tintor,square,12.3373131,45.4381687
campiello del vin,square,12.342503,45.4343989
corte bollani,square,12.345393,45.4349225
campo bandiera e moro,square,12.3466516,45.434605
campiello del piovan,square,12.3469645,45.4341196
corte soranzo,square,12.3481364,45.4355848
campo do pozzi,square,12.3485656,45.4361239
campo de le gorne,square,12.3491799,45.4356281
campo santa ternita,square,12.3487332,45.4372742
campo de la chiesa,square,12.3474567,45.4378686
campo de santa giustina detto de barbaria,square,12.345294,45.4384584
campo san lorenzo,square,12.3448987,45.4371544
campo san canzian,square,12.3383358,45.440155
campiello bruno crovato,square,12.3385939,45.43988
campiello santa maria nova,square,12.3386135,45.4396637
campo drio la chiesa,square,12.3370728,45.440507
campo santi apostoli,square,12.3365278,45.440382
campo de le erbe,square,12.3352127,45.4422347
corte de le candele,square,12.3378917,45.4431702
campo san leonardo,square,12.3268312,45.4435712
campo dei gesuiti,square,12.3384704,45.4431116
campo de gheto novo,square,12.3268873,45.4453254
campo san geremia,square,12.32495,45.4429576
campo san giacomo dall'orio,square,12.3275643,45.4400409
campiello del piovan,square,12.3273433,45.4402858
campo de le strope,square,12.3264994,45.4394409
campo sant'agostin,square,12.3283991,45.4387763
campo dei frari,square,12.326855,45.4369109
campo ruga,square,12.3571991,45.4337649
corte del bianco,square,12.357731,45.4330565
campo sant'agnese,square,12.3279756,45.4296683
corte dell'albero,square,12.3308054,45.4351018
campo san beneto,square,12.332436,45.4355436
campo daniele manin,square,12.3342529,45.435338
campiello del remer,square,12.3363189,45.4394111
corte dei preti,square,12.3248655,45.4362527
campo della guerra,square,12.3390051,45.43605
corte rubbi,square,12.3380699,45.4367189
campiello de la cason,square,12.3377675,45.4405121
fondamenta dei arsenalotti,square,12.3499261,45.4341564
campo santa marina,square,12.3393134,45.4384477
salizada san lio,square,12.3391842,45.4370689
sant'andrea della zirada,church,12.3162458,45.4382582
chiesa di san trovaso,church,12.3260101,45.4307889
santa maria del rosario,church,12.3273265,45.4295363
chiesa di san salvador,church,12.3365371,45.4366863
chiesa di san gregorio,church,12.3339581,45.4306666
chiesa di san giacomo apostolo,church,12.3354734,45.4385041
chiesa di san luca,church,12.3337817,45.4357547
basilica di san pietro di castello,church,12.3598627,45.4345413
scuola dell'angelo custode,church,12.3363048,45.4401811
chiesa di santa maria dei miracoli,church,12.3392413,45.4395029
basilica di san marco,church,12.3398366,45.4345551
santa maria del giglio o zobenigo,church,12.3327977,45.4326004
chiesa di san bartolomeo,church,12.3364533,45.437545
chiesa di san giovanni in bragora,church,12.3469876,45.4343511
chiesa di santa sofia,church,12.3350413,45.4410353
chiesa dell'ospedaletto,church,12.342901,45.4389176
sant' aponal,church,12.3326011,45.4379655
chiesa di san felice,church,12.333346,45.441794
santa maria della salute,church,12.3347226,45.4305667
santa maria del pianto,church,12.3453738,45.4398447
chiesa di san giorgio dei greci,church,12.3448288,45.4354268
chiesa dei santi apostoli,church,12.3367424,45.44051
chiesa di san zulian,church,12.3386363,45.4358076
chiesa di san lazzaro dei mendicanti,church,12.3426397,45.4411855
oratorio della beata vergine addolorata,church,12.3452037,45.4382583
chiesa di san fantin,church,12.3342694,45.4338736
chiesa di san canciano,church,12.3386275,45.4401082
ex chiesa di san biagio,church,12.3502761,45.4325039
chiesa di san lio,church,12.338574,45.4375615
chiesa di santa maria della pieta,church,12.3449503,45.4341899
chiesa di santa maria della consolazione,church,12.3383016,45.4369322
chiesa di san silvestro,church,12.3334165,45.437441
chiesa di san martino vescovo,church,12.3489937,45.4345834
chiesa di santa maria assunta,church,12.3391425,45.4433295
chiesa di san giuseppe di castello,church,12.3574179,45.4305926
chiesa di san moisã¨,church,12.3361511,45.4330896
san giovanni grisostomo,church,12.3372547,45.439156
chiesa di santa maria formosa,church,12.3410016,45.4370337
san francesco della vigna,church,12.3480842,45.4382191
chiesa delle cappuccine,church,12.3242345,45.4467014
testimoni di geova,church,12.3257768,45.447517
chiesa di san bonaventura,church,12.3267555,45.4478246
chiesa di san simeon piccolo,church,12.3224148,45.4403001
oratorio di santa maria dell'addolorata,church,12.3211278,45.4447215
santa teresa,church,12.3162474,45.4331461
chiesa di san simeone profeta,church,12.324519,45.440692
chiesa di san giovanni evangelista,church,12.3261031,45.438149
chiesa di san samuele,church,12.3283051,45.4336146
san nicola da tolentino,church,12.3220464,45.437571
basilica di santa maria gloriosa dei frari,church,12.3263629,45.4368721
san nicolã² dei mendicoli,church,12.3159072,45.4325191
san cassiano,church,12.3321417,45.4397103
chiesa di san girolamo,church,12.3252865,45.4460485
chiesa del nome di gesã¹,church,12.3167487,45.4390754
san giovanni decollato,church,12.3279017,45.4415896
chiesa di san polo,church,12.3296503,45.4371564
san pantalon,church,12.3247439,45.4357225
chiesa di santa fosca,church,12.3322097,45.4429324
san tomã ,church,12.3277737,45.4359293
chiesa di santo stefano,church,12.3311232,45.4336573
chiesa di sant'alvise,church,12.3291844,45.4473871
la maddalena,church,12.3311227,45.4429857
chiesa di san vidal,church,12.3295205,45.4324243
chiesa di sant'agnese,church,12.3281765,45.4297792
chiesa di san sebastian,church,12.3200504,45.4319887
san raffaele arcangelo,church,12.3190055,45.4324442
chiesa di san giobbe,church,12.320415,45.4449687
chiesa degli ognissanti,church,12.323361,45.4312765
chiesa di santa maria di nazareth,church,12.3219457,45.4414771
san barnaba,church,12.3254573,45.4330719
chiesa di san leonardo,church,12.3269338,45.4433865
chiesa di san giacomo dall'orio,church,12.327433,45.4401218
chiesa san marcuola,church,12.3286677,45.4429189
chiesa dei santi geremia e lucia,church,12.3253173,45.4426562
chiesa di san rocco,church,12.3252298,45.4369492
chiesa di san stae,church,12.3306332,45.4413182
santa maria dei carmini,church,12.3222886,45.4333829
madonna dell'orto,church,12.3326421,45.4465164
basilica dei santi giovanni e paolo,church,12.3421972,45.4392537
chiesa di san zaccaria,church,12.3436026,45.4347114
chiesa di san beneto,church,12.3323746,45.435649
campo sant' aponal,square,12.3323438,45.4378217
campo pisani,square,12.3303446,45.4324122
salizada san samuele,square,12.3294767,45.4342095
chiesa di san maurizio,church,12.3315903,45.4330793
chiesa di santa maria della visitazione,church,12.3266696,45.4296417
chiesa di san lorenzo,church,12.3455424,45.4372558
campo de la chiesa,square,12.3651478,45.4271661
chiesa di saint george,church,12.3303593,45.4306827
chiesa di san giovanni di malta,church,12.3463743,45.4364368
chiesa di sant'antonin,church,12.3465285,45.4355804
chiesa di san francesco di paola,church,12.3541836,45.4326115
chiesa di san gallo,church,12.3368697,45.4345557
chiesa di san giovanni nuovo,church,12.3415833,45.4356637
chiesa di santa maria mater domini,church,12.3303551,45.4400419
chiesa di santa maria delle penitenti,church,12.3192666,45.4467375
chiesa di santa croce degli armeni,church,12.3377471,45.4355228
chiesa delle eremite,church,12.3245178,45.4318965
chiesa di san marziale,church,12.3329312,45.44383
campo santa maria del giglio,square,12.3329024,45.4324274
campo san stin,square,12.3269519,45.4379471
chiesa di cristo re alla celestia,church,12.3493237,45.4380991
chiesa di san giovanni elemosinario,church,12.334562,45.4386723
ex chiesa di santa maria ausiliatrice (vulgo san gioacchin),church,12.3564479,45.4326278
chiesa dei santi rocco e margherita,church,12.3299235,45.433818
oratorio dell'annunziata,church,12.3317989,45.4343024
oratorio della madre di dio,church,12.3211877,45.4450877
chiesa di san giovanni battista ai catecumeni,church,12.3339302,45.4300786
cappella di san vio,church,12.3300817,45.4305342
cappella del corpo di san marco,church,12.3489733,45.4384319
corte del morer,square,12.3313067,45.4290447
chiesa evangelica valdese,church,12.342726,45.4378275
